Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
34,-0.8743926882743835,4.510891914367676,78.15396118164062,1.6710759617970379,2.4482431793118864,-89.62662549009973,-3.2043278,6.394103,15.708901,13.659062,-12.7711115,-5.828003,-9.414166,-5.600843,3.259029,23.022438,-15.906151,5.67878,-7.429526,0.5194729,10.185131,-4.9670424,18.677044,-32.806046,51.860703,8.605873,0.90779686,11.371383,18.116755,-16.395214,27.495827,60.638718,-4.972905,-3.2714202,-16.246801
35,-0.9470238089561462,4.5989990234375,78.08855438232422,1.7663068907407788,2.8209092617695193,-89.45507478743856,-4.2266026,6.4293656,15.469052,14.658468,-13.08925,-5.7917356,-10.31774,-5.679933,3.176707,23.931814,-16.259977,5.6497793,-7.677321,0.50744516,10.279185,-5.4406414,19.049799,-32.684395,51.34832,8.589766,0.87028635,11.41358,19.190962,-16.658117,27.157145,60.291946,-5.2062173,-3.2233808,-16.179602
36,-1.0137073993682861,4.698066711425781,78.0113296508789,1.8587395089447967,3.1722751945122103,-89.2791427437586,-5.2423625,6.4729466,15.230758,15.693677,-13.425305,-5.7566414,-11.21081,-5.7542553,3.0932002,24.872738,-16.631018,5.6136727,-7.929023,0.49695468,10.403243,-5.8998456,19.431446,-32.54127,50.819725,8.610347,0.8240044,11.46547,20.278425,-16.917398,26.811762,59.871002,-5.355148,-3.2217395,-16.135033
37,-1.084665060043335,4.790595054626465,77.9287109375,1.9462139398378209,3.501462057187089,-89.0991300392086,-6.25367,6.528709,14.995261,16.768602,-13.781089,-5.719314,-12.094958,-5.8210626,3.009257,25.849497,-17.019682,5.569957,-8.18889,0.4880484,10.558895,-6.339452,19.82281,-32.365067,50.27527,8.676459,0.7594863,11.523155,21.384842,-17.174719,26.45069,59.37973,-5.363227,-3.282224,-16.091185
38,-1.167015790939331,4.879045009613037,77.83646392822266,2.0299324153817064,3.8153277692289937,-88.91234508783552,-7.27237,6.595047,14.756367,17.889671,-14.157249,-5.681895,-12.973545,-5.883072,2.9213068,26.854202,-17.425098,5.520872,-8.457641,0.48165932,10.738903,-6.7653713,20.22433,-32.16408,49.715305,8.7675495,0.68159276,11.584713,22.514374,-17.4306,26.075724,58.823746,-5.2791057,-3.3872132,-16.048822
39,-1.2515455484390259,4.966646194458008,77.731201171875,2.1121429589341694,4.111321828987793,-88.72013570650068,-8.284343,6.6661973,14.514325,19.034412,-14.544706,-5.6542063,-13.843131,-5.943552,2.829516,27.886662,-17.847057,5.464914,-8.727647,0.4773043,10.945531,-7.1824803,20.636063,-31.954939,49.13501,8.878125,0.6081816,11.660129,23.65237,-17.683954,25.707956,58.186783,-5.191775,-3.5134752,-16.056452
40,-1.3403505086898804,5.0491042137146,77.62220764160156,2.1958988827889288,4.386918317013845,-88.52383553827464,-9.274978,6.7358613,14.270177,20.18141,-14.935181,-5.645938,-14.6985445,-6.005893,2.7340817,28.942156,-18.287376,5.4007244,-8.991624,0.4740887,11.180731,-7.5938225,21.057583,-31.75265,48.528725,9.004569,0.55699956,11.759475,24.782751,-17.932407,25.37021,57.454975,-5.1904707,-3.6382725,-16.163235
41,-1.4328997135162354,5.135045528411865,77.50541687011719,2.2815243270313434,4.633653604694138,-88.32464411481162,-10.230849,6.8034163,14.02643,21.323122,-15.327483,-5.6671753,-15.5296,-6.0713344,2.6344874,30.020914,-18.74805,5.322739,-9.248656,0.47017205,11.453329,-8.004124,21.48944,-31.56195,47.891018,9.156017,0.53667814,11.885714,25.918037,-18.175568,25.071363,56.6139,-5.285601,-3.7635825,-16.40495
42,-1.5246531963348389,5.229332447052002,77.37614440917969,2.3680266868035953,4.855674306164618,-88.12170560029853,-11.161718,6.8716125,13.783253,22.468876,-15.72378,-5.7117643,-16.342361,-6.1380954,2.531776,31.125307,-19.228577,5.2329283,-9.501547,0.46501514,11.7591915,-8.4110565,21.932116,-31.375677,47.226864,9.330604,0.53678,12.033426,27.059336,-18.414278,24.798672,55.677303,-5.43516,-3.8982491,-16.74864
43,-1.6191065311431885,5.31458854675293,77.2357406616211,2.4549759503976283,5.068880315236099,-87.91310512200937,-12.093871,6.939669,13.534733,23.633026,-16.126894,-5.7634745,-17.1518,-6.206714,2.4261227,32.24684,-19.72138,5.1424584,-9.75047,0.46074238,12.080416,-8.804582,22.38423,-31.188396,46.54419,9.509158,0.54639345,12.199623,28.175013,-18.645393,24.545998,54.67291,-5.6487966,-4.029445,-17.140877
